feature,importance
SPY_ret_1d,0.0
SPY_rsi14,0.0
SPY_macd,0.0
SPY_macd_signal,0.0
SPY_macd_hist,0.0
SPY_bb_upper,0.0
SPY_bb_middle,0.0
SPY_bb_lower,0.0
SPY_bb_position,0.0
SPY_bb_width,0.0
SPY_stochastic,0.0
SPY_mom_5,0.0
SPY_mom_10,0.0
SPY_mom_20,0.0
SPY_mom_60,0.0
SPY_mom_120,0.0
SPY_roc_10,0.0
SPY_roc_20,0.0
SPY_mom_acceleration,0.0
SPY_vol_5,0.0
SPY_vol_10,0.0
SPY_vol_20,0.0
SPY_vol_60,0.0
SPY_vol_parkinson,0.0
SPY_volvol_20,0.0
SPY_downside_vol_20,0.0
SPY_vol_asymmetry,0.0
SPY_dd_20,0.0
SPY_dd_60,0.0
SPY_dd_120,0.0
SPY_dd_252,0.0
SPY_days_since_high_60,0.0
SPY_days_since_high_120,0.0
SPY_sharpe_20,0.0
SPY_sharpe_60,0.0
SPY_sortino_20,0.0
SPY_sortino_60,0.0
SPY_calmar,0.0
SPY_ma_5_20_cross,0.0
SPY_ma_10_50_cross,0.0
SPY_ma_20_60_cross,0.0
SPY_ma_50_200_cross,0.0
SPY_adx_14,0.0
SPY_adx_28,0.0
SPY_trend_slope_20,0.0
SPY_trend_slope_60,0.0
SPY_skew_20,0.0
SPY_skew_60,0.0
SPY_kurt_20,0.0
SPY_kurt_60,0.0
SPY_autocorr_1,0.0
SPY_autocorr_5,0.0
SPY_autocorr_10,0.0
ew_ret_1d,0.0
ew_value,0.0
ew_vol_5,0.0
ew_vol_20,0.0
ew_vol_60,0.0
ew_ret_5,0.0
ew_ret_20,0.0
ew_ret_60,0.0
ew_dd_60,0.0
ew_dd_120,0.0
ew_dd_252,0.0
ew_sharpe_20,0.0
ew_sharpe_60,0.0
avg_correlation_60,0.0
regime_0,0.0
regime_1,0.0
regime_2,0.0
