Feature,Importance
BIL_rsi14,0.0
BIL_macd,0.0
BIL_macd_signal,0.0
BIL_macd_hist,0.0
BIL_bb_upper,0.0
BIL_bb_middle,0.0
BIL_bb_lower,0.0
BIL_bb_position,0.0
BIL_bb_width,0.0
BIL_stochastic,0.0
BIL_mom_5,0.0
BIL_mom_10,0.0
BIL_mom_20,0.0
BIL_mom_60,0.0
BIL_mom_120,0.0
BIL_roc_10,0.0
BIL_roc_20,0.0
BIL_mom_acceleration,0.0
BIL_vol_5,0.0
BIL_vol_10,0.0
BIL_vol_20,0.0
BIL_vol_60,0.0
BIL_vol_parkinson,0.0
BIL_volvol_20,0.0
BIL_downside_vol_20,0.0
BIL_vol_asymmetry,0.0
BIL_dd_20,0.0
BIL_dd_60,0.0
BIL_dd_120,0.0
BIL_dd_252,0.0
BIL_days_since_high_60,0.0
BIL_days_since_high_120,0.0
BIL_sharpe_20,0.0
BIL_sharpe_60,0.0
BIL_sortino_20,0.0
BIL_sortino_60,0.0
BIL_calmar,0.0
BIL_ma_5_20_cross,0.0
BIL_ma_10_50_cross,0.0
BIL_ma_20_60_cross,0.0
BIL_ma_50_200_cross,0.0
BIL_adx_14,0.0
BIL_adx_28,0.0
BIL_trend_slope_20,0.0
BIL_trend_slope_60,0.0
BIL_skew_20,0.0
BIL_skew_60,0.0
BIL_kurt_20,0.0
BIL_kurt_60,0.0
BIL_autocorr_1,0.0
BIL_autocorr_5,0.0
BIL_autocorr_10,0.0
BIL_mkt_corr_20,0.0
BIL_mkt_corr_60,0.0
BIL_mkt_corr_120,0.0
BIL_beta_60,0.0
BIL_beta_120,0.0
BIL_rel_strength_20,0.0
BIL_rel_strength_60,0.0
BIL_rel_vol,0.0
ew_value,0.0
ew_vol_5,0.0
ew_vol_20,0.0
ew_vol_60,0.0
ew_ret_5,0.0
ew_ret_20,0.0
ew_ret_60,0.0
ew_dd_60,0.0
ew_dd_120,0.0
ew_dd_252,0.0
ew_sharpe_20,0.0
ew_sharpe_60,0.0
avg_correlation_60,0.0
regime_0,0.0
regime_1,0.0
regime_2,0.0
target_lag_1,0.0
target_lag_2,0.0
target_lag_3,0.0
target_lag_5,0.0
target_lag_10,0.0
target_rolling_mean_5,0.0
target_rolling_std_5,0.0
target_rolling_mean_20,0.0
day_of_week,0.0
month,0.0
