Asset,N_Folds,Horizon,Test_RMSE,Test_R2,Test_DirAcc,Test_Corr,Test_Sharpe,Test_Return,Test_WinRate,Test_Trades
AAPL,16,5,0.02908320221679584,0.2714277781942816,0.7708333333333334,0.6994899013105127,5.790554089248365,0.2967688253877425,0.6190476190476191,80.1875
NVDA,16,5,0.042961324433065495,0.3481435233309412,0.8010912698412699,0.7196238294655573,6.304793680971857,0.7663952384208788,0.6488095238095238,89.9375
TSLA,16,5,0.04513505992171658,0.44884941644872456,0.793154761904762,0.7427128263354499,7.095076414971764,1.240442745185426,0.6403769841269841,97.0
MSFT,16,5,0.027095190618119828,0.1624546730983753,0.7351190476190477,0.653405571585546,4.297817581960562,0.14595375140964878,0.5947420634920635,59.375
GOOGL,16,5,0.030465211031754515,0.18600279340424436,0.7351190476190476,0.6708386413590416,4.9679088532633955,0.18684267404687746,0.6116071428571428,68.125
AMZN,16,5,0.032195037054905826,0.31907269515044573,0.7787698412698413,0.717826582849187,6.077504175339081,0.3773551875519823,0.6374007936507936,90.8125
META,16,5,0.03261244283312008,0.3084992278448301,0.7390873015873016,0.6967957617793279,5.692518083112754,0.3928618501941955,0.6031746031746031,87.125
SPY,16,5,0.02032832883018485,0.010524815501012044,0.6532738095238095,0.6837689994247432,2.232340498388078,0.025266914650422266,0.5699404761904763,14.4375
QQQ,16,5,0.025271705169582565,0.0791285210552652,0.6989087301587301,0.6747200054300119,3.4146383714796875,0.07644151863266632,0.6096230158730158,37.125
EFA,16,5,0.019780423591938982,0.019545902237042168,0.6651785714285714,0.6700725821921321,3.0888906988996947,0.02939754946394052,0.5873015873015874,26.0
IEF,16,5,0.008656087258467525,-0.055023697280652914,0.5218253968253969,0.0,0.15228156399062376,-0.0002230256158533353,0.5024801587301587,0.0
HYG,16,5,0.01006994711878772,-0.039211162802964925,0.5858134920634921,0.0,1.0120476889590748,0.0012533814858788142,0.5372023809523809,0.0
BIL,16,5,0.0004191681162412772,-10.215279046877608,0.7638888888888888,0.0,7.272294348243672,0.00010522327224683076,0.5074404761904762,0.0
INTC,16,5,0.03567896419859035,0.2076528225640189,0.7331349206349207,0.6792722456470517,5.410467215792202,0.2773659281383976,0.6235119047619049,74.3125
AMD,16,5,0.040595868893136114,0.49314040930972236,0.7896825396825397,0.7446370486192508,6.819871292334877,1.216844094578146,0.6339285714285714,106.9375
